word,expected_pinyin,expected_tone,source,source_status,all_readings,reading_count,tones_seen
圍,wéi,2,moe_dict,verified,wéi(ㄨㄟˊ)=2,1,2
園,yuán,2,moe_dict,verified,yuán(ㄩㄢˊ)=2,1,2
圓,yuán,2,moe_dict,verified,yuán(ㄩㄢˊ)=2,1,2
團,tuán,2,moe_dict,verified,tuán(ㄊㄨㄢˊ)=2,1,2
在,zài,4,moe_dict,verified,zài(ㄗㄞˋ)=4,1,4
地,,,moe_dict,ambiguous_polyphone,de(˙ㄉㄜ)=5|dì(ㄉㄧˋ)=4,2,"4,5"
坐,zuò,4,moe_dict,verified,zuò(ㄗㄨㄛˋ)=4,1,4
城,chéng,2,moe_dict,verified,chéng(ㄔㄥˊ)=2,1,2
壞,,4,moe_dict,verified_tone_only,guài(ㄍㄨㄞˋ)=4|huài(ㄏㄨㄞˋ)=4,2,4
夕,xì,4,moe_dict,verified,xì(ㄒㄧˋ)=4,1,4
外,wài,4,moe_dict,verified,wài(ㄨㄞˋ)=4,1,4
多,,,moe_dict,ambiguous_polyphone,duō(ㄉㄨㄛ)=1|duó(ㄉㄨㄛˊ)=2,2,"1,2"
夜,yè,4,moe_dict,verified,yè(ㄧㄝˋ)=4,1,4
大,,4,moe_dict,verified_tone_only,dà(ㄉㄚˋ)=4|dài(ㄉㄞˋ)=4|tài(ㄊㄞˋ)=4,3,4
天,tiān,1,moe_dict,verified,tiān(ㄊㄧㄢ)=1,1,1
太,tài,4,moe_dict,verified,tài(ㄊㄞˋ)=4,1,4
夫,,,moe_dict,ambiguous_polyphone,fū(ㄈㄨ)=1|fú(ㄈㄨˊ)=2,2,"1,2"
奇,,,moe_dict,ambiguous_polyphone,jī(ㄐㄧ)=1|qí(ㄑㄧˊ)=2,2,"1,2"
女,,,moe_dict,ambiguous_polyphone,nǚ(ㄋㄩˇ)=3|nǜ(ㄋㄩˋ)=4|rǔ(ㄖㄨˇ)=3,3,"3,4"
好,,,moe_dict,ambiguous_polyphone,hǎo(ㄏㄠˇ)=3|hào(ㄏㄠˋ)=4,2,"3,4"
如,rú,2,moe_dict,verified,rú(ㄖㄨˊ)=2,1,2
始,,,moe_dict,ambiguous_polyphone,shǐ(ㄕˇ)=3|shì(ㄕˋ)=4,2,"3,4"
媽,mā,1,moe_dict,verified,mā(ㄇㄚ)=1,1,1
子,,,moe_dict,ambiguous_polyphone,zi(˙ㄗ)=5|zǐ(ㄗˇ)=3,2,"3,5"
字,zì,4,moe_dict,verified,zì(ㄗˋ)=4,1,4
孩,hái,2,moe_dict,verified,hái(ㄏㄞˊ)=2,1,2
學,xué,2,moe_dict,verified,xué(ㄒㄩㄝˊ)=2,1,2
安,ān,1,moe_dict,verified,ān(ㄢ)=1,1,1
定,dìng,4,moe_dict,verified,dìng(ㄉㄧㄥˋ)=4,1,4
室,shì,4,moe_dict,verified,shì(ㄕˋ)=4,1,4
家,,1,moe_dict,verified_tone_only,gū(ㄍㄨ)=1|jiā(ㄐㄧㄚ)=1,2,1
寒,hán,2,moe_dict,verified,hán(ㄏㄢˊ)=2,1,2
對,duì,4,moe_dict,verified,duì(ㄉㄨㄟˋ)=4,1,4
小,xiǎo,3,moe_dict,verified,xiǎo(ㄒㄧㄠˇ)=3,1,3
就,jiù,4,moe_dict,verified,jiù(ㄐㄧㄡˋ)=4,1,4
屋,wū,1,moe_dict,verified,wū(ㄨ)=1,1,1
已,yǐ,3,moe_dict,verified,yǐ(ㄧˇ)=3,1,3
市,shì,4,moe_dict,verified,shì(ㄕˋ)=4,1,4
師,shī,1,moe_dict,verified,shī(ㄕ)=1,1,1
帶,dài,4,moe_dict,verified,dài(ㄉㄞˋ)=4,1,4
常,cháng,2,moe_dict,verified,cháng(ㄔㄤˊ)=2,1,2
平,,2,moe_dict,verified_tone_only,pián(ㄆㄧㄢˊ)=2|píng(ㄆㄧㄥˊ)=2,2,2
年,nián,2,moe_dict,verified,nián(ㄋㄧㄢˊ)=2,1,2
幾,,,moe_dict,ambiguous_polyphone,jī(ㄐㄧ)=1|jǐ(ㄐㄧˇ)=3,2,"1,3"
床,chuáng,2,moe_dict,verified,chuáng(ㄔㄨㄤˊ)=2,1,2
座,zuò,4,moe_dict,verified,zuò(ㄗㄨㄛˋ)=4,1,4
康,kāng,1,moe_dict,verified,kāng(ㄎㄤ)=1,1,1
張,,,moe_dict,ambiguous_polyphone,zhāng(ㄓㄤ)=1|zhàng(ㄓㄤˋ)=4,2,"1,4"
往,wǎng,3,moe_dict,verified,wǎng(ㄨㄤˇ)=3,1,3
很,hěn,3,moe_dict,verified,hěn(ㄏㄣˇ)=3,1,3
後,hòu,4,moe_dict,verified,hòu(ㄏㄡˋ)=4,1,4
