t_accept,t_incorrect,t2_safe,n,n_acceptable,n_uncertain,n_incorrect,coverage,abstention_rate,acceptable_precision,incorrect_precision,incorrect_recall,selective_error,false_acceptance_among_accepted,false_rejection_among_flagged,accepted_correct,accepted_incorrect,flagged_incorrect,flagged_correct,speakers_any,speakers_5plus,speakers_with_incorrect,speakers_with_acceptable
0.47891,0.56209,True,1424,692,615,117,0.5681179775280899,0.4318820224719101,0.880057803468208,0.41025641025641024,0.1991701244813278,0.18788627935723115,0.1199421965317919,0.5897435897435898,609,83,48,69,32,32,28,32
0.47891,0.57246,False,1424,692,594,138,0.5828651685393258,0.41713483146067415,0.880057803468208,0.35507246376811596,0.2033195020746888,0.20722891566265061,0.1199421965317919,0.644927536231884,609,83,49,89,32,31,29,32
0.47891,0.57246,True,1424,692,628,104,0.5589887640449438,0.4410112359550562,0.880057803468208,0.40384615384615385,0.17427385892116182,0.18216080402010051,0.1199421965317919,0.5961538461538461,609,83,42,62,32,31,28,32
0.47891,0.58583,False,1424,692,616,116,0.5674157303370787,0.43258426966292135,0.880057803468208,0.3879310344827586,0.18672199170124482,0.1905940594059406,0.1199421965317919,0.6120689655172413,609,83,45,71,32,31,26,32
0.47891,0.58583,True,1424,692,644,88,0.547752808988764,0.45224719101123595,0.880057803468208,0.4318181818181818,0.15767634854771784,0.17051282051282052,0.1199421965317919,0.5681818181818182,609,83,38,50,32,31,26,32
0.47891,0.59836,False,1424,692,638,94,0.5519662921348315,0.44803370786516855,0.880057803468208,0.40425531914893614,0.15767634854771784,0.17684478371501272,0.1199421965317919,0.5957446808510638,609,83,38,56,32,31,24,32
0.47891,0.59836,True,1424,692,659,73,0.5372191011235955,0.4627808988764045,0.880057803468208,0.4383561643835616,0.13278008298755187,0.16209150326797386,0.1199421965317919,0.5616438356164384,609,83,32,41,32,31,24,32
0.47891,0.61936,False,1424,692,659,73,0.5372191011235955,0.4627808988764045,0.880057803468208,0.4246575342465753,0.12863070539419086,0.16339869281045752,0.1199421965317919,0.5753424657534246,609,83,31,42,32,31,23,32
0.47891,0.61936,True,1424,692,677,55,0.5245786516853933,0.47542134831460675,0.880057803468208,0.45454545454545453,0.1037344398340249,0.15127175368139223,0.1199421965317919,0.5454545454545454,609,83,25,30,32,31,23,32
0.47891,0.67291,False,1424,692,681,51,0.5217696629213483,0.4782303370786517,0.880057803468208,0.47058823529411764,0.0995850622406639,0.1480484522207268,0.1199421965317919,0.5294117647058824,609,83,24,27,32,31,19,32
0.47891,0.67291,True,1424,692,691,41,0.514747191011236,0.48525280898876405,0.880057803468208,0.5121951219512195,0.08713692946058091,0.14051841746248295,0.1199421965317919,0.4878048780487805,609,83,21,20,32,31,19,32
0.47891,0.78196,False,1424,692,703,29,0.5063202247191011,0.4936797752808989,0.880057803468208,0.41379310344827586,0.04979253112033195,0.13869625520110956,0.1199421965317919,0.5862068965517241,609,83,12,17,32,31,14,32
0.47891,0.78196,True,1424,692,706,26,0.5042134831460674,0.4957865168539326,0.880057803468208,0.4230769230769231,0.04564315352697095,0.13649025069637882,0.1199421965317919,0.5769230769230769,609,83,11,15,32,30,13,32
0.47891,0.96896,False,1424,692,724,8,0.49157303370786515,0.5084269662921348,0.880057803468208,0.75,0.024896265560165973,0.12142857142857143,0.1199421965317919,0.25,609,83,6,2,32,30,4,32
0.47891,0.96896,True,1424,692,725,7,0.49087078651685395,0.5091292134831461,0.880057803468208,0.7142857142857143,0.02074688796680498,0.12160228898426323,0.1199421965317919,0.2857142857142857,609,83,5,2,32,30,4,32
0.48111,0.48134,False,1424,718,66,640,0.9536516853932584,0.046348314606741575,0.883008356545961,0.2328125,0.6182572614107884,0.42341678939617083,0.116991643454039,0.7671875,634,84,149,491,32,32,32,32
0.48111,0.48134,True,1424,718,228,478,0.8398876404494382,0.1601123595505618,0.883008356545961,0.24476987447698745,0.4854771784232365,0.3720735785953177,0.116991643454039,0.7552301255230126,634,84,117,361,32,32,32,32
0.48111,0.48236,False,1424,718,86,620,0.9396067415730337,0.060393258426966294,0.883008356545961,0.23870967741935484,0.6141078838174274,0.4155455904334828,0.116991643454039,0.7612903225806451,634,84,148,472,32,32,32,32
0.48111,0.48236,True,1424,718,243,463,0.8293539325842697,0.17064606741573032,0.883008356545961,0.2526997840172786,0.4854771784232365,0.3640982218458933,0.116991643454039,0.7473002159827213,634,84,117,346,32,32,32,32
0.48111,0.48406,False,1424,718,107,599,0.9248595505617978,0.07514044943820225,0.883008356545961,0.2387312186978297,0.5933609958506224,0.41002277904328016,0.116991643454039,0.7612687813021702,634,84,143,456,32,32,32,32
0.48111,0.48406,True,1424,718,257,449,0.8195224719101124,0.18047752808988765,0.883008356545961,0.25389755011135856,0.4730290456431535,0.35904027420736934,0.116991643454039,0.7461024498886414,634,84,114,335,32,32,32,32
0.48111,0.48558,False,1424,718,129,577,0.9094101123595506,0.09058988764044944,0.883008356545961,0.24436741767764297,0.5850622406639004,0.4015444015444015,0.116991643454039,0.755632582322357,634,84,141,436,32,32,32,32
0.48111,0.48558,True,1424,718,274,432,0.8075842696629213,0.19241573033707865,0.883008356545961,0.2638888888888889,0.4730290456431535,0.34956521739130436,0.116991643454039,0.7361111111111112,634,84,114,318,32,32,32,32
0.48111,0.48786,False,1424,718,150,556,0.8946629213483146,0.10533707865168539,0.883008356545961,0.2517985611510791,0.5809128630705395,0.3924646781789639,0.116991643454039,0.7482014388489209,634,84,140,416,32,32,32,32
0.48111,0.48786,True,1424,718,289,417,0.7970505617977528,0.2029494382022472,0.883008356545961,0.2733812949640288,0.4730290456431535,0.3409691629955947,0.116991643454039,0.7266187050359713,634,84,114,303,32,32,32,32
0.48111,0.48938,False,1424,718,163,543,0.8855337078651685,0.11446629213483146,0.883008356545961,0.2523020257826888,0.5684647302904564,0.3885804916732752,0.116991643454039,0.7476979742173112,634,84,137,406,32,32,32,32
0.48111,0.48938,True,1424,718,302,404,0.7879213483146067,0.21207865168539325,0.883008356545961,0.2747524752475248,0.4605809128630705,0.3360071301247772,0.116991643454039,0.7252475247524752,634,84,111,293,32,32,32,32
0.48111,0.49294,False,1424,718,185,521,0.8700842696629213,0.12991573033707865,0.883008356545961,0.2476007677543186,0.5352697095435685,0.384180790960452,0.116991643454039,0.7523992322456814,634,84,129,392,32,32,32,32
0.48111,0.49294,True,1424,718,314,392,0.7794943820224719,0.2205056179775281,0.883008356545961,0.27040816326530615,0.43983402489626555,0.3333333333333333,0.116991643454039,0.7295918367346939,634,84,106,286,32,32,32,32
0.48111,0.49536,False,1424,718,202,504,0.8581460674157303,0.14185393258426968,0.883008356545961,0.25396825396825395,0.5311203319502075,0.37643207855973815,0.116991643454039,0.746031746031746,634,84,128,376,32,32,32,32
0.48111,0.49536,True,1424,718,327,379,0.7703651685393258,0.22963483146067415,0.883008356545961,0.2770448548812665,0.43568464730290457,0.3263445761166819,0.116991643454039,0.7229551451187335,634,84,105,274,32,32,32,32
0.48111,0.49788,False,1424,718,224,482,0.8426966292134831,0.15730337078651685,0.883008356545961,0.2551867219917012,0.5103734439834025,0.36916666666666664,0.116991643454039,0.7448132780082988,634,84,123,359,32,32,32,32
0.48111,0.49788,True,1424,718,344,362,0.7584269662921348,0.24157303370786518,0.883008356545961,0.281767955801105,0.42323651452282157,0.31851851851851853,0.116991643454039,0.7182320441988951,634,84,102,260,32,32,32,32
0.48111,0.49958,False,1424,718,243,463,0.8293539325842697,0.17064606741573032,0.883008356545961,0.2570194384449244,0.49377593360995853,0.3624047417442845,0.116991643454039,0.7429805615550756,634,84,119,344,32,32,32,32
0.48111,0.49958,True,1424,718,358,348,0.7485955056179775,0.25140449438202245,0.883008356545961,0.28160919540229884,0.4066390041493776,0.3133208255159475,0.116991643454039,0.7183908045977011,634,84,98,250,32,32,32,32
0.48111,0.50318,False,1424,718,264,442,0.8146067415730337,0.1853932584269663,0.883008356545961,0.26018099547511314,0.47717842323651455,0.3543103448275862,0.116991643454039,0.7398190045248869,634,84,115,327,32,32,32,32
0.48111,0.50318,True,1424,718,373,333,0.738061797752809,0.261938202247191,0.883008356545961,0.2822822822822823,0.3900414937759336,0.3073263558515699,0.116991643454039,0.7177177177177178,634,84,94,239,32,32,32,32
