method,K,speaker_id,n_eval,n_incorrect,within_roc,median_score,prevalence
S3,5,02043,52,11,0.6075388026607539,-0.06810772525729983,0.21153846153846154
S3,5,02044,52,10,0.6071428571428571,-0.17914303981422408,0.19230769230769232
S3,5,02045,52,14,0.48120300751879697,-0.46352910509700684,0.2692307692307692
S3,5,02046,52,11,0.4700665188470067,-0.020875463767727663,0.21153846153846154
S3,10,02024,52,0,nan,-0.23845689644419577,0.0
S3,10,02028,52,12,0.5041666666666667,0.009124393580565597,0.23076923076923078
S3,10,02029,52,0,nan,-0.23156775241734395,0.0
S3,10,02030,52,10,0.4976190476190476,-0.15526760027686437,0.19230769230769232
S3,10,02031,52,6,0.677536231884058,0.02209371882374976,0.11538461538461539
S3,10,02033,52,0,nan,-0.28010062493272614,0.0
S3,10,02034,52,1,0.9019607843137255,-0.18094020467796185,0.019230769230769232
S3,10,02035,52,9,0.6795865633074936,-0.11373843683844884,0.17307692307692307
S3,10,02038,52,7,0.7873015873015873,-0.14277058834757425,0.1346153846153846
S3,10,02039,52,34,0.5980392156862745,-0.17335117489337115,0.6538461538461539
S3,10,02041,52,6,0.6521739130434783,-0.22960308302316046,0.11538461538461539
S3,10,02042,52,7,0.5238095238095238,-0.5091545527404022,0.1346153846153846
S3,10,02043,52,11,0.6430155210643016,-0.014824316053000877,0.21153846153846154
S3,10,02044,52,10,0.5928571428571429,-0.1280923330333293,0.19230769230769232
S3,10,02045,52,14,0.5112781954887218,-0.28870916945919634,0.2692307692307692
S3,10,02046,52,11,0.48337028824833705,-0.037539043365348856,0.21153846153846154
S3,20,02024,52,0,nan,-0.08320186016335135,0.0
S3,20,02028,52,12,0.5645833333333333,-0.12891197615462102,0.23076923076923078
S3,20,02029,52,0,nan,-0.2082782110846642,0.0
S3,20,02030,52,10,0.5119047619047619,-0.16849739876126935,0.19230769230769232
S3,20,02031,52,6,0.6666666666666666,0.057892261960941514,0.11538461538461539
S3,20,02033,52,0,nan,-0.08960781045571903,0.0
S3,20,02034,52,1,0.7647058823529411,-0.02278887362787864,0.019230769230769232
S3,20,02035,52,9,0.6718346253229974,-0.07413574731013614,0.17307692307692307
S3,20,02038,52,7,0.6349206349206349,0.04384246136796917,0.1346153846153846
S3,20,02039,52,34,0.6486928104575164,0.21240368723528377,0.6538461538461539
S3,20,02041,52,6,0.6340579710144928,-0.16781540667182276,0.11538461538461539
S3,20,02042,52,7,0.5936507936507937,-0.3262671404337548,0.1346153846153846
S3,20,02043,52,11,0.49445676274944567,0.07410668247926694,0.21153846153846154
S3,20,02044,52,10,0.5952380952380952,-0.10830376235976527,0.19230769230769232
S3,20,02045,52,14,0.4417293233082707,-0.03947439124178358,0.2692307692307692
S3,20,02046,52,11,0.47671840354767187,-0.028816920413825345,0.21153846153846154
