t_pass,enabled_tones,n,n_pass,n_retry,coverage,pass_precision,true_pass,false_pass,false_pass_rate,incorrect_tokens_passed,speakers_any_pass,speakers_5plus_pass,speakers_zero_pass,T1_pass,T1_precision,T1_false_pass,T2_pass,T2_precision,T2_false_pass,T3_pass,T3_precision,T3_false_pass,T4_pass,T4_precision,T4_false_pass
0.53786,1234,1424,1113,311,0.7816011235955056,0.8580413297394429,955,158,0.14195867026055706,158,32,32,0,341,0.844574780058651,53,236,0.8601694915254238,33,114,0.8421052631578947,18,422,0.8720379146919431,54
0.54061,1234,1424,1126,298,0.7907303370786517,0.8579040852575488,966,160,0.14209591474245115,160,32,32,0,343,0.8454810495626822,53,240,0.8583333333333333,34,118,0.847457627118644,18,425,0.8705882352941177,55
0.54447,1234,1424,1136,288,0.797752808988764,0.858274647887324,975,161,0.14172535211267606,161,32,32,0,344,0.8459302325581395,53,244,0.8565573770491803,35,121,0.8512396694214877,18,427,0.8711943793911007,55
0.54665,1234,1424,1143,281,0.8026685393258427,0.8565179352580927,979,164,0.14348206474190725,164,32,32,0,344,0.8459302325581395,53,246,0.8536585365853658,36,123,0.8455284552845529,19,430,0.8697674418604651,56
0.54918,1234,1424,1154,270,0.8103932584269663,0.8570190641247833,989,165,0.14298093587521662,165,32,32,0,344,0.8459302325581395,53,247,0.854251012145749,36,128,0.8515625,19,435,0.8689655172413793,57
0.55131,1234,1424,1166,258,0.8188202247191011,0.8550600343053173,997,169,0.14493996569468268,169,32,32,0,344,0.8459302325581395,53,249,0.8554216867469879,36,133,0.849624060150376,20,440,0.8636363636363636,60
0.55361,1234,1424,1177,247,0.8265449438202247,0.8530161427357689,1004,173,0.1469838572642311,173,32,32,0,344,0.8459302325581395,53,252,0.8452380952380952,39,135,0.8518518518518519,20,446,0.8632286995515696,61
0.55712,1234,1424,1188,236,0.8342696629213483,0.8526936026936027,1013,175,0.1473063973063973,175,32,32,0,344,0.8459302325581395,53,257,0.8443579766536965,40,138,0.855072463768116,20,449,0.8619153674832962,62
0.56154,1234,1424,1199,225,0.8419943820224719,0.8515429524603837,1021,178,0.14845704753961636,178,32,32,0,346,0.8439306358381503,54,260,0.8423076923076923,41,140,0.8571428571428571,20,453,0.8609271523178808,63
0.56779,1234,1424,1211,213,0.8504213483146067,0.8497109826589595,1029,182,0.15028901734104047,182,32,32,0,347,0.8414985590778098,55,263,0.844106463878327,41,144,0.8472222222222222,22,457,0.8599562363238512,64
0.5722,1234,1424,1222,202,0.8581460674157303,0.8486088379705401,1037,185,0.1513911620294599,185,32,32,0,347,0.8414985590778098,55,268,0.8432835820895522,42,147,0.8435374149659864,23,460,0.8586956521739131,65
0.57969,1234,1424,1233,191,0.8658707865168539,0.8499594484995945,1048,185,0.15004055150040552,185,32,32,0,347,0.8414985590778098,55,273,0.8461538461538461,42,149,0.8456375838926175,23,464,0.8599137931034483,65
0.58553,1234,1424,1244,180,0.8735955056179775,0.8480707395498392,1055,189,0.15192926045016078,189,32,32,0,348,0.8390804597701149,56,275,0.8472727272727273,42,153,0.8431372549019608,24,468,0.8568376068376068,67
0.59197,1234,1424,1256,168,0.8820224719101124,0.8463375796178344,1063,193,0.1536624203821656,193,32,32,0,348,0.8390804597701149,56,279,0.8458781362007168,43,157,0.8471337579617835,24,472,0.8516949152542372,70
0.59845,1234,1424,1267,157,0.889747191011236,0.8453038674033149,1071,196,0.15469613259668508,196,32,32,0,348,0.8390804597701149,56,282,0.8475177304964538,43,161,0.8385093167701864,26,476,0.8508403361344538,71
0.60967,1234,1424,1278,146,0.8974719101123596,0.8435054773082942,1078,200,0.1564945226917058,200,32,32,0,350,0.8371428571428572,57,283,0.8480565371024735,43,166,0.8253012048192772,29,479,0.8517745302713987,71
0.6205,1234,1424,1289,135,0.9051966292134831,0.8425135764158262,1086,203,0.15748642358417378,203,32,32,0,350,0.8371428571428572,57,286,0.8496503496503497,43,171,0.8245614035087719,30,482,0.8485477178423236,73
