model,pooling,class_weight,C,n_features,pr_auc_incorrect,roc_auc,balanced_accuracy,macro_f1,incorrect_precision,incorrect_recall,incorrect_f1,accuracy,false_rejection_rate,false_acceptance_rate,threshold
MODEL_A_wav2vec2,temporal3,balanced,0.1,2308,0.18357251634835753,0.4623765747361253,0.5112359550561798,0.17022600041467967,0.17405063291139242,1.0,0.29649595687331537,0.18944099378881987,0.9775280898876404,0.0,0.0037
MODEL_A_wav2vec2,temporal3,balanced,1.0,2308,0.1542726717233103,0.43745318352059925,0.5064351378958121,0.20856741573033707,0.17275747508305647,0.9454545454545454,0.29213483146067415,0.21739130434782608,0.9325842696629213,0.054545454545454564,0.0003
MODEL_A_wav2vec2,temporal3,balanced,10.0,2308,0.15000434669931761,0.4444671433435478,0.5,0.14588859416445624,0.17080745341614906,1.0,0.2917771883289125,0.17080745341614906,1.0,0.0,0.0
MODEL_B_praat,n/a,None,0.01,14,0.22075028534212868,0.5480422199523323,0.5905345590738849,0.520504009163803,0.2302158273381295,0.5818181818181818,0.32989690721649484,0.5962732919254659,0.40074906367041196,0.4181818181818182,0.1665
MODEL_B_praat,n/a,None,0.1,14,0.2046421329625394,0.5257065032345931,0.5926796050391556,0.5290139131045297,0.23484848484848486,0.5636363636363636,0.3315508021390374,0.6118012422360248,0.3782771535580524,0.4363636363636364,0.1653
MODEL_B_praat,n/a,None,1.0,14,0.20146909088440076,0.5208716377255703,0.5811712631937351,0.5091186268420755,0.2222222222222222,0.5818181818181818,0.32160804020100503,0.5807453416149069,0.41947565543071164,0.4181818181818182,0.1634
MODEL_B_praat,n/a,None,10.0,14,0.20171856492165563,0.5210078311201907,0.579298604017705,0.5068468468468469,0.2206896551724138,0.5818181818181818,0.32,0.577639751552795,0.4232209737827715,0.4181818181818182,0.1632
MODEL_B_praat,n/a,balanced,0.01,14,0.2057302032059259,0.537010554988083,0.573953013278856,0.5063536946819746,0.21830985915492956,0.5636363636363636,0.3147208121827411,0.5807453416149069,0.4157303370786517,0.4363636363636364,0.4897
MODEL_B_praat,n/a,balanced,0.1,14,0.19403757076639463,0.5123595505617977,0.5434456928838951,0.45692919649960223,0.19411764705882353,0.6,0.29333333333333333,0.5062111801242236,0.5131086142322098,0.4,0.4809
MODEL_B_praat,n/a,balanced,1.0,14,0.19410318366313925,0.5117466802860061,0.5037453183520599,0.15410161090458488,0.171875,1.0,0.29333333333333333,0.17701863354037267,0.9925093632958801,0.0,0.3278
MODEL_B_praat,n/a,balanced,10.0,14,0.1938510458599496,0.5114742934967654,0.50187265917603,0.15000793902826295,0.17133956386292834,1.0,0.2925531914893617,0.17391304347826086,0.9962546816479401,0.0,0.2591
MODEL_C_fusion,mean,None,0.01,782,0.19111677147801676,0.5092271024855295,0.5149812734082397,0.17814239960581424,0.1751592356687898,1.0,0.2981029810298103,0.1956521739130435,0.9700374531835206,0.0,0.0424
